class_id,name,days,teacher_id,grade_level,max_size,term,schedule_block,classroom_id
657069ca-2764-48c3-bafd-fc351c12dabf,"Keys to Kindergarten (Th, bl.3)",[4],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[3],
67d50ec1-bab7-4520-91d1-71e099f1d60a,6 IEW,[2],cf3dbb5c-9598-4173-a438-0a2e01cdf4f6,"[""6""]",12,Both,[3],
693d1678-6f0a-43bb-826c-bad91b5f0811,9-10 IEW,"[1,4]",dba5607f-8603-4c78-854f-1107b32ce4d5,"[""10"",""9""]",12,Both,[5],
69efc093-04ca-43b1-ba76-9bd4966ee650,3-5 Grammar Lab,[3],50b1b067-1c58-43b4-ad46-33b5c79e7e6f,"[""3"",""4"",""5""]",13,Both,,
6c45da1c-d4ec-42c4-b320-de86ded2b4d9,"Keys to Kindergarten (M, bl.1)",[1],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[1],
6d207019-f7c5-4ad8-a0da-2d78aecd7300,Spanish I,[4],063bdb63-94c3-4622-9468-321d91df7259,"[""10"",""11"",""12"",""9""]",15,Both,[4],
7062f96c-3292-4517-bfef-7e38abc12fc3,Music History,[3],212ab7d4-17d3-4537-a3e6-d1490363e90f,"[""10"",""11"",""12"",""6"",""7"",""8"",""9""]",15,Both,[5],
7736c42b-2347-4d86-830c-87e0941114e4,"Keys to Kindergarten (T, bl.4)",[2],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[4],
78cf741d-1d70-4fd7-bb32-71c39252bfef,3-8 Coding,[3],5c268572-9487-4862-8413-97af7b4a8007,"[""3"",""4"",""5"",""6"",""7"",""8""]",18,Both,[3],
79fc182b-02e5-40d7-b2bd-f87644a35e5c,9-12 Culinary Arts (W),"[1,3]",52775a87-bada-45ef-93f1-5e34e9685728,"[""10"",""11"",""12"",""9""]",10,Both,[5],
79fe910b-e312-405b-9e80-7fcb887a2caf,3-5 Art (Th),[4],62cffdf2-ab8b-495d-8c44-0eee4fda2749,"[""3"",""4"",""5""]",12,Both,,
7ce51c97-2e12-45dd-b959-ff509f8b5165,1-2 Language Arts & Math (W),[3],4ce07c52-40c1-446c-b5dd-d26875086440,"[""1"",""2""]",15,Both,,
7dcdef25-9cbf-4623-9994-b773a229b93a,Psychology of Happiness,[4],8fdb999d-3195-48bc-bed5-819659f04888,"[""10"",""11"",""12"",""8"",""9""]",20,Both,[4],
8387d78b-1331-4e6a-a751-805e81bd1f9d,6-12 Reading Tutor (T),[2],dbbc0aaf-9a61-41f9-b066-cf60c6c098b6,"[""10"",""11"",""12"",""6"",""7"",""8"",""9""]",15,Both,[6],
8501877a-72c8-4eed-a9a0-90fec9156f7a,Anatomy & Physiology,[1],09a388a4-3109-45f7-9554-38e6129d19b2,"[""10"",""11"",""12"",""9""]",12,Both,[4],
8600fc4d-3604-4e5b-aada-925283ab5240,Pre-Algebra (T),[2],673499ba-c0de-4f0b-95db-b53cc3b0f559,"[""6"",""7"",""8"",""9""]",12,Both,[2],
86509126-0bf5-4eab-bb87-271c3196d39f,US History 2,[1],80e8993d-e0f5-4715-91fb-590a21afaabb,"[""10"",""11"",""12"",""9""]",14,Both,[5],
86e248ee-98c0-41a9-b49e-91f4948b155a,"Keys to Kindergarten (Th, bl.2)",[4],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[2],
886653ae-c140-43e7-be3c-995e051377a7,"Keys to Kindergarten (W, bl.4)",[3],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[4],
892fe740-e0ca-4fba-9833-14f02246c18a,6-8 Interactive Engineering(M),[1],5c268572-9487-4862-8413-97af7b4a8007,"[""6"",""7"",""8""]",15,Both,[3],
8bab7807-4733-4654-9d4e-77084ded43fb,9-12 Spanish II,[4],063bdb63-94c3-4622-9468-321d91df7259,"[""10"",""11"",""12"",""9""]",15,Both,[3],
91953889-dfb0-4253-bb6f-d6ff86146e1a,K-2 Jr. Physics,[1],bb0c556e-7426-44d0-a048-d9c288dd3f2c,"[""1"",""2"",""K""]",30,Semester 2,[6],
97e270c5-68f6-44e3-914d-351fc7f8f656,7-8 Literature,[3],cf3dbb5c-9598-4173-a438-0a2e01cdf4f6,"[""7"",""8""]",12,Both,[2],
9862a3b4-9d3c-411b-8cd5-96cd88e52092,9-12 Art History,[1],5c268572-9487-4862-8413-97af7b4a8007,"[""10"",""11"",""12"",""9""]",15,Both,[1],
9cd9e8ec-b168-4e0b-8ee6-63ff682773e3,5-6 Math (Th),[4],774d13f3-ce8c-4d98-b896-92ba44527300,"[""5"",""6""]",15,Both,[2],
9f542b39-e921-4e4e-8875-3ef1a758d538,"Keys to Kindergarten (M, bl.4)",[1],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[4],
a485edfb-6732-4127-934e-30826d012d51,4 Science,[2],4c2c2bff-baa9-4005-a0da-d56fd1f1f58d,"[""4""]",12,Both,[1],
a8ef501f-48ab-427e-ae8f-d7965e5eb7da,9-12 American Sign Language,[1],6f42cf0c-2cbb-430d-8204-db0e6f00498e,"[""10"",""11"",""12"",""9""]",15,Both,[3],
a8f14836-fcc6-414b-9107-54025f381589,"Keys to Kindergarten (T, bl.3)",[2],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[3],
add6c4b5-8753-4e03-8a8b-c67fe6b8d695,6-8 History (block3),[3],7f56220a-d94c-4d04-8154-4bc48013b4bb,"[""6"",""7"",""8""]",15,Both,[3],
af1b42da-93ac-4247-9b22-f250093b1689,"Keys to Kindergarten (W, bl.1)",[3],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[1],
b1c8789d-c020-4bba-882f-5e247208d67f,6-8 Creative Writing,[1],06420e9f-2ce0-43c4-89f8-1ee111af0438,"[""6"",""7"",""8""]",15,Both,[4],
b33ffdf7-2a18-41e1-84a6-7d00654b72f7,"Keys to Kindergarten (Th, bl.1)",[4],4aaaa9e9-e2a2-4cf9-8c32-ceabe644a237,"[""K""]",20,Both,[1],
b58eae10-7eff-4cd5-831f-521653840e2d,3 Grammar (T),[2],50b1b067-1c58-43b4-ad46-33b5c79e7e6f,"[""3""]",10,Both,[1],
